Codigo_Produto;Descricao_Pedido;Categoria;Quantidade_Exemplo;Peso_Item_Exemplo_kg;Volume_Item_Exemplo_m3;Base_Estimativa;Confianca_Estimativa;Aviso
23107;"PISO KARINA RET REF. 68006 ""A"" 60 X 120 OMBRA DI CARVAGGI";REVESTIMENTO_M2;6.54;104.646726;0.05686957;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23156;PORC. ELIZABETH 70 X 70 NIQUEL IMPERADOR ESM POLIDO;REVESTIMENTO_M2;36.75;588.037797;0.31956522;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23443;PISO POINTER TRASTEVERE 60 X 60 EXT REF. 54665;REVESTIMENTO_M2;22.77;364.343418;0.198;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23457;PISO POINTER NEO CIMENTO CINZA RET 59,5 X 59,5 MATE REF.2;REVESTIMENTO_M2;12.3;196.81265;0.10695652;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23729;PORC. ELIZABETH 84 X 84 URBAN SOFT ESM ACETINADO;REVESTIMENTO_M2;7.23;115.687436;0.06286957;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23886;PISO POINTER INFINITA BEGE 60 X 60 BR REF. 208943;REVESTIMENTO_M2;5.06;80.965204;0.044;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24615;PISO POINTER TOSCANA 60 X 60 BR REF. 212111;REVESTIMENTO_M2;30.36;485.791225;0.264;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24745;"PISO KARINA REF. 60325 ""A"" 60 X 60 MUNARI CINZA ESM";REVESTIMENTO_M2;32.24;515.873158;0.28034783;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24753;"PISO KARINA REF. 60332 ""A"" PIETRASANTA RET";REVESTIMENTO_M2;45.6;729.646899;0.39652174;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24853;"PORC. CERBRAS TECHNATTO WHITE POLIDO 90 X 90 ""A""";REVESTIMENTO_M2;36.45;583.237488;0.31695652;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
7338;"PISO CERBRAS PARATI HD 46 X 46 ""A""";REVESTIMENTO_M2;18.4;294.418924;0.16;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
9801;ESPACADOR CORTAG JUNTAPISO 3MM 100PÇS;REVESTIMENTO_M2;1.0;16.001028;0.00869565;"MEDIANA_TOP85_REVESTIMENTOS: 16.001 kg/m²; 0.008696 m³/m²";MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
14186;SIFAO KRONA SIMPLES BRANCO;SIFAO;1.0;0.095;0.0019;ANALOGO:7792 SIFAO ASTRA SANF SIMPLES UNIVERSAL PLAST BCO sim=0.57;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
17975;MASSA ACRILICA 25KG-FORTEX;TINTA_MASSA;3.0;75.0;0.0909;ANALOGO:6159 MASSA CORRIDA 25Kg FORTEX sim=0.86;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
19581;TINTA FORTCRYL AREIA DO DESERTO 15L FORTEX;TINTA_MASSA;1.0;20.0;0.02;ANALOGO:17170 LATEX FORTEX BRANCO GELO 15L FORTMAIS sim=0.51;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
19584;TEXT. AREIA DO DESERTO 25 KG FORTEX;TINTA_MASSA;3.0;75.0;0.05357143;ANALOGO:17330 LATEX MARFIM 15L FORTMAIS FORTEX sim=0.55;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
11641;TORN. LORENZETTI COZ. MESA BICA MOVEL WAY 7011200;TORNEIRA_REGISTRO;1.0;19.0;0.022;ANALOGO:15157 SELADOR FORTEX PIG BRANCO NEVE 15L sim=0.35;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
17004;REG. BELLARENZO DE PRESSAO 1416 3/4 ACAB C-31 LIGHT;TORNEIRA_REGISTRO;2.0;0.6;0.0024;ANALOGO:20675 KIT BELLARENZO STANDER BELLARENZO sim=0.43;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
21498;REG. BELLARENZO DE GAVETA 1509 1.1/4 C-31 COD. 2613;TORNEIRA_REGISTRO;2.0;0.6;0.0024;ANALOGO:20675 KIT BELLARENZO STANDER BELLARENZO sim=0.44;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
